,names,link,research_field,subfaculty,faculty,link_CU,research_interest
105,Alan Hunter,https://scholar.google.co.uk/citations?hl=en&user=JZiUAkoAAAAJ,"peace studies, human security, religion, East Asia",,,,
106,Simon Goodman,https://scholar.google.co.uk/citations?hl=en&user=I8QEF6wAAAAJ,"Psychology, Social Psychology, Discursive Psychology, Prejudice, Asylum",,,,
107,Andrew Hunt,https://scholar.google.co.uk/citations?hl=en&user=CObu11QAAAAJ,"flow measurement, fluid mechanics, process tomography, process nowcasting",,,,
108,Deepa Joshi,https://scholar.google.co.uk/citations?hl=en&user=_Q_F5mMAAAAJ,"Water governance, feminist political ecology and water conflicts",,,https://pureportal.coventry.ac.uk/en/persons/deepa-joshi,"Research Interests: Exploring how water policies, institutions and strategies relate to ground realities of inequity, uncertainty and risks."
109,Kristin Aune,https://scholar.google.co.uk/citations?hl=en&user=FKeJ6dwAAAAJ,"Religion and gender, religion and higher education, feminism",,,https://pureportal.coventry.ac.uk/en/persons/kristin-aune,"Biography:  
Kristin Aune joined Coventry University in 2014, having taught on sociology and youth work and theology programmes at the University of Westminster, Ridley Hall Cambridge and the University of Derby. At Derby she became Reader in Sociology and Director of the Centre for Society, Religion and Belief. She has been a visiting fellow at Grinnell College, Iowa, and Uppsala University. She leads the Centre’s Faith and Peaceful Relations research group.
She has undertaken pioneering work on gender, religion and feminism. Her book on single women’s marginalisation in the church led to a PhD on gender in evangelical Christianity, the findings of which were widely published. Fascinated by how women’s changing lives are affecting their faith commitments, she co-edited Women and Religion in the West: Challenging Secularization, which traces the disaffiliation of women from religious institutions, exploring differences between Christianity, Islam and alternative spirituality. Her book with Catherine Redfern, Reclaiming the F Word, was a ground-breaking study of the resurgence of feminism in Britain and attracted major public attention. Several articles about feminists’ approaches to religion and spirituality emerged. In 2015 she ran, with colleagues at Uppsala and Coimbra universities, the ‘Is secularism bad for women?’ workshops, from which a special issue of the journal Social Compass appeared in 2017. She was the Principal Investigator on the 2016-18 project 'Domestic Abuse in UK Churches: A Case Study of Cumbria' (with Dr Rebecca Barnes at the University of Leicester and Mandy Marshall, Director of the charity Restored). 
Religion and higher education is her other research area. Her latest book on this is 'Religion and Higher Education in Europe and North America' (ed., with Jacqueline Stevenson, Routledge 2017). From 2009-2012 she was Co-Investigator on 'Christianity and the University Experience in Contemporary England', a three-year AHRC and ESRC project with Durham and Chester universities exploring Christian students’ experiences of university and how faith shapes, and is shaped by, university life. From 2016-18 she is co-directing, with Revd Dr Jeremy Law at Canterbury Christ Church and Dr Mathew Guest at Durham, the project Chaplains on Campus, exploring university chaplaincy in UK universities. She is also Principal Investigator on the project 'Tackling religion-based hate crime on the muliti-faith campus' (funder: Office for Students, 2018-2020) and Co-Investigator on a study of religious student societies (led by the think tank Theos). 
 "
110,Graham Sadler,https://scholar.google.co.uk/citations?hl=en&user=FTqKS3kAAAAJ,Executive Compensation,"School of Economics, Finance and Accounting",Faculty of Business & Law,https://pureportal.coventry.ac.uk/en/persons/graham-sadler,None: None
111,Amy Elizabeth Harwood,https://scholar.google.co.uk/citations?hl=en&user=l-25A04AAAAJ,"Clinical Exercise Physiology, Human Physiology",,,,
112,Abay Mulatu,https://scholar.google.co.uk/citations?hl=en&user=5fpLxjwAAAAJ,Economics,Faculty Research Centre for Financial & Corporate Integrity,Faculty of Business & Law,https://pureportal.coventry.ac.uk/en/persons/abay-mulatu,Research Interests: Impact assessment; Economic geography; International trade; Development economics; Environmental economics
113,Stefanie Williams,https://scholar.google.co.uk/citations?hl=en&user=PjqUChAAAAAJ,"Health Psychology, Behaviour Change",School of Life Sciences,Faculty of Health & Life Sciences,https://pureportal.coventry.ac.uk/en/persons/stefanie-williams,"Research Interests: Physical Activity and walking
; Health behaviour intervention development
; Psychological mediators of behaviour change"
114,Paul Greening,https://scholar.google.co.uk/citations?hl=en&user=ZMOYx5IAAAAJ,"Dynamics, Monitoring, Optimisation",,,,
115,Andrew  Rigby,https://scholar.google.co.uk/citations?hl=en&user=CQQvglAAAAAJ,"Peace Studies, Civil resistance",,,,
116,Bahar Baser,https://scholar.google.co.uk/citations?hl=en&user=yCYVVCAAAAAJ,"peace and conflict studies, diasporas and transnationalism",,,,
117,Rohit Bhagat,https://scholar.google.co.uk/citations?hl=en&user=ZrhXXvsAAAAJ,"Lithium Batteries, Energy Storage, Diagnostics, Molten Salts",,,https://pureportal.coventry.ac.uk/en/persons/rohit-bhagat,None: None
118,Rachid Anane,https://scholar.google.co.uk/citations?hl=en&user=oOdwEoQAAAAJ,"Distributed Systems, Adaptive Systems, Learning Technologies","School of Computing, Electronics and Maths","Faculty of Engineering, Environment & Computing",https://pureportal.coventry.ac.uk/en/persons/rachid-anane,Research Interests: Distributed Systems; Learning technologies
119,Lorna Everall,https://scholar.google.co.uk/citations?hl=en&user=dFbVExIAAAAJ,Optical Fibre Bragg Gratings,"Faculty of Engineering, Environment & Computing","Faculty of Engineering, Environment & Computing",https://pureportal.coventry.ac.uk/en/persons/lorna-anne-everall,None: None
120,Ambrose Cole,https://scholar.google.co.uk/citations?hl=en&user=DDNZUswAAAAJ,Learning Design,,,,
121,Dr Kasim Randeree,https://scholar.google.co.uk/citations?hl=en&user=5McpbDIAAAAJ,,,,,
122,Rosie Kneafsey,https://scholar.google.co.uk/citations?hl=en&user=tCB5RecAAAAJ,"Nursing, Health, Compassion, Rehabilitation, Grounded Theory",,,,
123,Damien Foster,https://scholar.google.co.uk/citations?hl=en&user=fDW6OWcAAAAJ,"Statistical Physics, Polymer Physics",Faculty Research Centre for Data Science,"Faculty of Engineering, Environment & Computing",https://pureportal.coventry.ac.uk/en/persons/damien-foster,Education/Academic qualification: None
124,Dr Yueping Fang,https://scholar.google.co.uk/citations?hl=en&user=j4tv8PoAAAAJ,"building energy efficiency, advanced glazing, heat transfer, nonimaging optics",,,,
125,Michael Odetayo,https://scholar.google.co.uk/citations?hl=en&user=eZH1qf0AAAAJ,csx190@coventry.ac.uk,,,,
126,Tony Lawrence,https://scholar.google.co.uk/citations?hl=en&user=fhIw-48AAAAJ,Psychology,,,,
127,Matthew England,https://scholar.google.co.uk/citations?hl=en&user=MPTu37QAAAAJ,"Symbolic Computation / Computer Algebra, Cylindrical Algebraic Decomposition, Integrable Systems & Mathematical Physics, Abelian",Faculty Research Centre for Data Science,"Faculty of Engineering, Environment & Computing",https://pureportal.coventry.ac.uk/en/persons/matthew-england,"Research Interests: Algorithms for Symbolic ComputationImplementations in Computer Algebra SystemsAlgorithms for polynomial systems, real algebraic geometry and computational logic.Quantifier Elimination and Cylindrical Algebraic DecompositionMachine Learning for Software OptimisationSatisfiability Modulo TheoriesApplications of the above to sciences, engineering and economics."
128,Hosam Al-Samarraie,https://scholar.google.co.uk/citations?hl=en&user=J7S_8R8AAAAJ,"Human-computer-interaction, Technology Utilisation, e-learning, Behavioural Modeling","Faculty Research Centre for Arts, Memory and Communities",Faculty of Arts & Humanities,https://pureportal.coventry.ac.uk/en/persons/sam-al-samarraie,Education/Academic qualification: None
129,John Graves,https://scholar.google.co.uk/citations?hl=en&user=Dxou3GMAAAAJ,"Electrochemistry, Hydrogen, Materials, Nanotechnology",,,https://pureportal.coventry.ac.uk/en/persons/john-graves,"Research Interests: Sonochemistry
; Smart Materials; Nano Technology
; Metal Deposition
; Electrochemistry
; Particle Dispersion; Printed Electronics"
130,Robert Low,https://scholar.google.co.uk/citations?hl=en&user=-u8O8qMAAAAJ,"mathematics, physics",Faculty Research Centre in Fluid and Complex Systems,"Faculty of Engineering, Environment & Computing",https://pureportal.coventry.ac.uk/en/persons/robert-low,Research Interests: Liquid crystals; Mathematics and natural philosophy; Relativity and geometry in physics
131,Stratis Kanarachos,https://scholar.google.co.uk/citations?hl=en&user=0FifX48AAAAJ,"engineering dynamics, system dynamics, smart systems, optimisation, smart data",,,https://pureportal.coventry.ac.uk/en/persons/stratis-kanarachos,"Research Interests: Smart systems, Dynamics, Signal Processing, Optimisation, Soft Computing"
132,Elizabeth Bos,https://scholar.google.co.uk/citations?hl=en&user=ZmZtfkkAAAAJ,"Human Geography, Social Sciences, Sociology",,,,
133,Ran Holtzman,https://scholar.google.co.uk/citations?hl=en&user=S8YnmCEAAAAJ,"multiphase and reactive flows, fluid mechanics in porous media, complex systems, geomechanics, pore scale modeling",Faculty Research Centre in Fluid and Complex Systems,"Faculty of Engineering, Environment & Computing",https://pureportal.coventry.ac.uk/en/persons/ran-holtzman,Education/Academic qualification: None
134,Helen Liebling,https://scholar.google.co.uk/citations?hl=en&user=ScsHuoQAAAAJ,Survivors of Conflict and Post-Conflict Sexual-Gender Based Violence and Torture including Refugees,"School of Psychological, Social and Behavioural Sciences",Faculty of Health & Life Sciences,https://pureportal.coventry.ac.uk/en/persons/helen-liebling,"Biography: Helen has been carrying out applied research with survivors of conflict and post-conflict sexual violence and torture in Africa since 1998. Helen has numerous journal publications including two books: ‘Ugandan Women War Survivors’ (Liebling-Kalifani, 2009) and ‘Justice and Health Provision for Survivors of Sexual Violence’ (Liebling and Baker, 2010). Helen’s research includes several innovations in theory including a re-conceptualisation of trauma, integrated justice and health approaches, and a holistic approach for service provision for conflict-affected survivors, the arguments for entitlement to health care being a human rights issue and policies for war survivors as well as governance and sexual violence. Helen has carried out consultancies, training and interventions in Africa to enhance support for conflict survivors and service providers in conjunction with Isis-WICCE, Uganda. Consequently Helen has had her policy recommendations adopted by the pre-consultative meeting in gender mainstreaming in the African Union and the executive summary and published book were presented to the President of Uganda who stated he would act on their recommendations. Furthermore, the South African Correctional Department recommended implementation of Helen’s research and policy recommendations to inform services for conflict survivors at trauma centres opened in Gulu and Kitgum, northern Uganda.

Area of Expertise:

Applied research with survivors of conflict and post-conflict sexual violence and torture in Africa since 1998. Helen has carried out consultancies, training and interventions to enhance support for conflict survivors and service providers. Helen has also carried out research with survivors of Sexual and Gender-Based Violence and torture including refugees and asylum seekers in the United Kingdom."
135,Melody Stokes,https://scholar.google.co.uk/citations?hl=en&user=gBq5IdsAAAAJ,"Renewable energy, Knowledge Based Engineering",,,,
136,Alex Franklin,https://scholar.google.co.uk/citations?hl=en&user=FPPu73UAAAAJ,"Sustainability, shared practice, community, nature/society, human/animal",,,https://pureportal.coventry.ac.uk/en/persons/alex-franklin,"Biography:  
Prior to joining CAWR Alex was a Research Fellow at the Sustainable Places Research Institute, Cardiff University, and previously, a senior research associate/ research manager at the ESRC Centre for Business Relationships, Accountability, Sustainability and Society (BRASS). Although originally a human geographer by training, her constant involvement since 2005, in inter- multi- and cross- disciplinary research practice, sees her identifying more closely these days with the broader field of (social) sustainability science.
Alex specialises in qualitative research techniques, with much of her work informed by a participatory action research approach to study design. She is experienced in researching community-based sustainable place making both within the UK and internationally. This includes, for example, on-going collaboration with colleagues from Colombia, Brazil, Canada, China and mainland Europe. For the period 2011-2015 she was also a co-editor of the international Journal of Environmental Policy and Planning (Taylor and Francis).
External funding sources supporting Alex's research to date have included the UK Economic and Social Research Council, Welsh Government, Canal and Rivers Trust, The Law Society (Wales), Sustrans and the Forestry Commission. She has also previously received funding to participate in international visiting research scholarships in Finland (Ruralia, University of Helsinki) and Hungary (Hungary Academy of Sciences, Budapest). Most recently, as coordinator (together with partner institutions from five other European countries), Alex has been successful in securing funding for a Marie Skłodowska-Curie–Innovative Training Network, entitled ‘RECOMS’ (2018-2022). Funded by the European Commission, the purpose of RECOMS is to train 15 Early Stage Research (ESR) Fellows in innovative, transdisciplinary and transformative approaches to promoting and facilitating resourceful and resilient community environmental practice. For further information please see:http://www.coventry.ac.uk/research/research-directories/current-projects/2017/recoms/
 "
137,Dr Morteza Khorami,https://scholar.google.co.uk/citations?hl=en&user=wKGzfw8AAAAJ,"concrete technology, materials, cement composite, new technology in construction, industrial construction",,,,
138,Heather J Sears,https://scholar.google.co.uk/citations?hl=en&user=kaqEMSgAAAAJ,,,,,
139,Farooq Sher,https://scholar.google.co.uk/citations?hl=en&user=mtaln-gAAAAJ,"Chemical Engineering, Renewable Energy, Thermochemical Conversion, Environmental Management, CO2 Capture and Storage",Institute for Future Transport and Cities,"Faculty of Engineering, Environment & Computing",https://pureportal.coventry.ac.uk/en/persons/sher-f,"Research Interests: Dr. Farooq Sher current research overviews the diverse range of approaches and technologies to minimise emissions of carbon dioxide (CO2) a greenhouse gas from the use of fossil fuels (coal, oil and gas). It also includes developing technologies to remove carbon dioxide from the flue gases of power plants and chimneys, as well as burn the fuels in pure oxygen (Oxy-fuel), which results in a flue gas that consists entirely of carbon dioxide and water vapours that can be captured relatively easily and can be stored safely in repositories deep underground. Moreover, Dr. Sher is working towards sustainable energy, environment, climate change and low carbon technologies. His main interests are in the conversion of renewable sources such as biomass, solar, wind and hydro into heat and power including their impact on the environment and climate change. Dr. Sher is also studying the combustion behaviour of different fossil fuels to get a better understanding of their environmental impacts. His expertises are in energy, heat and mass transfer operations, fluid mixing, distillation, energy optimisation, wastewater treatment, hydrogen production, fluidised bed combustion (FBC), life cycle assessment (LCA), oxy-fuel combustion, carbon capture and storage (CCS) and computational fluid dynamics (CFD) modelling.
Area of Expertise
Clean energy from fossil fuels; coal, oil and gasRenewable energy generation from biomass, solar and hydroHydrogen gas production Waste to energy conversionCoal and biomass combustion/ gasificationLife cycle assessmentCarbon capture and storageWastewater treatmentSynthesis of nanomaterialsCFD modelling
Research Projects
Integrated electrochemical process for CO2 capture and utilisation in oil and gas sectorSolid-liquid waste management during oil and gas decommissioning processNumerical simulation study of carbon dioxide injection to enhance the oil recovery from undersea deep reservoirsOptimisation study of microbial enhanced oil recovery processesModelling and optimisation of biomass oxy-fuel combustion in a fluidised bedsSustainable biomaterials for CO2 capture, conversion and utilisation applicationsLife cycle assessment of pulverised coal-fired power plant with CCS technology in the UKThe potential environmental impacts from the shale oil and gas development "
140,Nazaraf Shah,https://scholar.google.co.uk/citations?hl=en&user=vN3V6nEAAAAJ,"Linked Data, Service Oriented Computing, Distributed Applications, Web Application Security","School of Computing, Electronics and Maths","Faculty of Engineering, Environment & Computing",https://pureportal.coventry.ac.uk/en/persons/nazaraf-shah,"Research Interests: Ethical Hacking and Information Security; Application of ICT in Energy Management Systems; Design and implementation of secure web-based enterprise application using Agent and Web Services Technologies; Fundamental research and empirical analysis in the area of distributed network computing, especially multi-agent systems (MAS); Endowing autonomous agents with the ability to detect and diagnose exceptions in a cooperative manner and developing techniques for diagnosing and handling runtime exceptions in open MAS where agents belong to different organisations"
141,Nigel Berkeley,https://scholar.google.co.uk/citations?hl=en&user=ethX1O4AAAAJ,,Faculty Research Centre for Business in Society,Faculty of Business & Law,https://pureportal.coventry.ac.uk/en/persons/nigel-berkeley,"Biography: Nigel is Professor of Local Economic Development and Associate Dean for Research in the Faculty of Business and Law at Coventry University. He has 30 years’ experience, designing, managing and disseminating research, and in leading research centres. Nigel’s focus is on economic development research designed to shape, influence and inform policy and debate, completing projects for the EU, national and regional government agencies, local authorities, third and private sector organisations. Current research concerns sustainability of the transport sector and in particular the role of electric vehicles in stimulating a transition to green automobility. Nigel’s research has uniquely explored the economic opportunities arising from this transition, whilst also informing debates through an exploration of barriers, and critique of the underpinning policy framework.
Previous research has included EU consortium projects on transport accessibility and sustainability; evaluations of economic intervention, including the West Midlands Task Force, a programme of intervention to locally respond to recession; and evaluations of location independent working in the higher education sector. In 2015 Nigel was appointed as an Expert Evaluator on Horizon 2020, the EU’s flagship research programme.
Nigel has presented widely on his research at international conferences, including keynote presentations to business and government, published extensively in academic and practitioner journals, provided comment to the written and broadcast media, and presented evidence to the UK House of Commons Transport Select Committee. Nigel has supervised 15 doctoral students to completion and continues to supervise postgraduate researchers and mentor early career researchers."
142,Yu-Hua Chen,https://scholar.google.co.uk/citations?hl=en&user=6nL-wwcAAAAJ,"Corpus Linguistics, Second Language Research, Language Testing and Assessment, English for Academic Purposes, Vocabulary",School of Humanities,Faculty of Arts & Humanities,https://pureportal.coventry.ac.uk/en/persons/yu-hua-chen-chen,Education/Academic qualification: None
143,Chiara Tornaghi,https://scholar.google.co.uk/citations?hl=en&user=ChiC9KMAAAAJ,"Urban agriculture, food sovereignty, socio-environmental justice, urban political agroecology, agroecological urbanism",,,https://pureportal.coventry.ac.uk/en/persons/chiara-tornaghi,Research Interests: Scholar-activism; Political ecology; Politics of space; Grassroots pedagogy; Resource sovereignty; Alternative urbanism; Re-building the Commons; Socio-environmental justice
144,Adrienne Evans,https://scholar.google.co.uk/citations?hl=en&user=2XMZYCMAAAAJ,,Faculty Research Centre in Postdigital Cultures,Faculty of Arts & Humanities,https://pureportal.coventry.ac.uk/en/persons/ady-evans,"Vision Statement: My research is inspired by a deep interest in the way gender organises personal, social, intimate and cultural relationships, and how these relationships are shaped and reflected in media culture. Through my research I hope to create new ways of thinking about these links and the way they can stimulate more positive identities."
145,Jonathan Daniel Nixon,https://scholar.google.co.uk/citations?hl=en&user=Ow5b4xUAAAAJ,Renewable Energy,,,,
146,Siraj Ahmed Shaikh,https://scholar.google.co.uk/citations?hl=en&user=F3SxYB4AAAAJ,"Network Security, Formal Methods, Open Source Software, IT and Developing Countries",,,,
147,Alexander Roberts,https://scholar.google.co.uk/citations?hl=en&user=cfxGsQkAAAAJ,"Energy storage, electrochemistry, batteries, supercapacitors",,,https://pureportal.coventry.ac.uk/en/persons/alexander-roberts,None: None
148,Linda Martin,https://scholar.google.co.uk/citations?hl=en&user=BHMYsPMAAAAJ,,,,,
149,Alban Potherat,https://scholar.google.co.uk/citations?hl=en&user=llAhd0YAAAAJ,"Fluid mechanics, fluid dynamics, turbulence, magnetohydrodynamics, quasi-2D flows",Faculty Research Centre in Fluid and Complex Systems,"Faculty of Engineering, Environment & Computing",https://pureportal.coventry.ac.uk/en/persons/alban-potherat,None: None
150,Rebecca Johnson,https://scholar.google.co.uk/citations?hl=en&user=kqYuobAAAAAJ,"Public Health, Knowledge Mobilisation, Implementation, Mixed Methods",Faculty Research Centre for Intelligent Healthcare,Faculty of Health & Life Sciences,https://pureportal.coventry.ac.uk/en/persons/rebecca-johnson,"Biography: Rebecca is a Fellow of the Royal Society for Public Health. Rebecca has been conducting research in Public Health since 2008, working at Warwick Medical School and as an NIHR Research Fellow as part of the Collaborations for Leadership in Applied Health Research and Care, West Midlands (CLAHRCs). She began teaching in 2009 and is now Co-Dirtector of the BSc Public Health (hons) at Coventry University. She teaches on topics including globalisation and health, global health governance, introduction to communicable and non-communicable disease, health improvement, public health practice and implementation and research methods.  A particular area of interest for Rebecca is Mixed Methods. which she has taught since 2014.  She led the Mixed Methods for the Health Sciences module at Warwick Medical School from 2015-2019, and has delivered numerous mixed methods workshops in the UK and Ireland. Rebecca founded and co-ordinated the Qualitative and Mixed Methods Interest group at the University of Warwick from 2015-2019. She has won awards for her innovative approach to Mixed Methods teaching and was Highly Commended in the 2018 Warwick Awards for Teaching Excellence.
She is a Senior Fellow of the Higher Education Academy."
151,Paul Holtom,https://scholar.google.co.uk/citations?hl=en&user=nwkub9MAAAAJ,"International arms trade and transfer controls, SALW, Russian foreign and security policy, international peace and security",,,,
152,Anna Bogush,https://scholar.google.co.uk/citations?hl=en&user=MlWSor8AAAAJ,"geochemistry, chemistry, environmental engineering, waste management",,,https://pureportal.coventry.ac.uk/en/persons/anna-bogush,None: None
153,Beate Grawemeyer,https://scholar.google.co.uk/citations?hl=en&user=9iXacSkAAAAJ,"Artificial Intelligence, Technology Enhanced Learning, Human Computer Interaction, Affective Computing","School of Computing, Electronics and Maths","Faculty of Engineering, Environment & Computing",https://pureportal.coventry.ac.uk/en/persons/beate-grawemeyer,Education/Academic qualification: None
154,Jason Ferdinand,https://scholar.google.co.uk/citations?hl=en&user=NPrURisAAAAJ,"Economic and Industrial Espionage, Knowledge Management, IP Security, IP Theft",,,,
155,Joanna Wheeler,https://scholar.google.co.uk/citations?hl=en&user=2qIMUFIAAAAJ,,,,,
156,David Bek,https://scholar.google.co.uk/citations?hl=en&user=rt6a9xYAAAAJ,"Economic geography, ethical trade, sustainability, global production networks",Faculty Research Centre for Business in Society,Faculty of Business & Law,https://pureportal.coventry.ac.uk/en/persons/david-bek,Research Interests: Ethical Trade; Sustainability; Local economic development; Corporate social responsibility
157,Dr. Adegoke Omotayo Olubanwo,https://scholar.google.co.uk/citations?hl=en&user=yjgGMkQAAAAJ,"Mixture optimization, Concrete overlay, Finite element",,,,
158,William Payre,https://scholar.google.co.uk/citations?hl=en&user=Rfp6GasAAAAJ,"psychology, ergonomics, driving automation",,,https://pureportal.coventry.ac.uk/en/persons/william-payre,None: None
159,Patricia Lund,https://scholar.google.co.uk/citations?hl=en&user=7kvtqEYAAAAJ,"Human Genetics, Disability research, Albinism in Africa",School of Life Sciences,Faculty of Health & Life Sciences,https://pureportal.coventry.ac.uk/en/persons/patricia-lund,"Vision Statement: 
While working as an expatriate lecturer in genetics at the University of Zimbabwe in the early 1990s I initiated a project investigating the inherited condition oculocutaneous albinism. Since then I have explored genetic, health, educational and social issues surrounding albinism in southern and central Africa, where this condition has a high frequency. My motivation is to provide the evidence base to inform policy and attitudes to albinism, from ministerial to village level, with the goal of improving the quality of life for this vulnerable group."
160,Kashif Iqbal,https://scholar.google.co.uk/citations?hl=en&user=hP_pesAAAAAJ,"Image and Information Retrieval, Image Processing, Computer Vision, Biometric Security, Collaborative Computing and Agents",,,,
161,Louise Moody,https://scholar.google.co.uk/citations?hl=en&user=ogn2L8YAAAAJ,Human Factors & Health Design,"Faculty Research Centre for Arts, Memory and Communities",Faculty of Arts & Humanities,https://pureportal.coventry.ac.uk/en/persons/louise-moody,"Research Interests: - Co-creation based research that explores and improves health and wellbeing
- User-led development methods to ensure behaviour change and technology acceptance
- Development and evaluation of assistive technology, and technology for unmet health needs
- Communication design for newborn screening
- Development and evaluation of online and app-based health interventions"
162,Neil Renwick,https://scholar.google.co.uk/citations?hl=en&user=JNGntxwAAAAJ,"Chinese Politics, Foreign Relations and Security, East Asian International relations, Myanmar-China Relations, International Rel",,,,
163,Hoang Nga Nguyen,https://scholar.google.co.uk/citations?hl=en&user=KhD1YdEAAAAJ,"formal methods, cybersecurity, railway, automotive, autonomous",,,https://pureportal.coventry.ac.uk/en/persons/hoang-nga-nguyen,"Research Interests: Formal methods; Cybersecurity; Railway; Automotive; Autonomous
 "
164,Cheng Zhang,https://scholar.google.co.uk/citations?hl=en&user=_v_KmR0AAAAJ,"Lithium ion battery management system, electric vehicles, system model and control",,,https://pureportal.coventry.ac.uk/en/persons/cheng-zhang,None: None
165,Dr. Huma Shah,https://scholar.google.co.uk/citations?hl=en&user=cmS6qXQAAAAJ,"Artificial Intelligence, AI Ethics & Trust, Turing Test, Natural Language, Deception-detection",,,,
166,Chris Pringle,https://scholar.google.co.uk/citations?hl=en&user=hca9cVsAAAAJ,Fluid Dynamics,Faculty Research Centre in Fluid and Complex Systems,"Faculty of Engineering, Environment & Computing",https://pureportal.coventry.ac.uk/en/persons/chris-pringle,Research Interests: Transition in subcritical systemsNonlinear stabilityLinear stabilityMultiphase flowsNon-Newtonian fluids
167,Michael Kennedy,https://scholar.google.co.uk/citations?hl=en&user=2SvQXbAAAAAJ,"Ecology, Biomonitoring, Conservation Biology, Water Quality, Ecohydrology","School of Energy, Construction and Environment","Faculty of Engineering, Environment & Computing",https://pureportal.coventry.ac.uk/en/persons/michael-kennedy,Research Interests: Eco-hydrology; Biomonitoring; Water Quality; Habitat Management; Sustainable Development; Applied Vegetation Ecology
168,Hayley Wright,https://scholar.google.co.uk/citations?hl=en&user=sXVD-XgAAAAJ,"Cognition, cognitive decline, ageing, neuropsychology, cognitive deficits in stroke and dementia","School of Nursing, Midwifery and Health",Faculty of Health & Life Sciences,https://pureportal.coventry.ac.uk/en/persons/hayley-wright,"Biography: BSc (Hons) in Applied Psychology from Leeds Metropolitan University (2005).
MSc in Cognitive Neuroscience from University of York (2006).
PhD in Psychology from University of Birmingham (2011) investigating visual attention to social cues following parietal lobe damage caused by stroke, under the supervision of Prof Jane Riddoch and the late Prof Glyn Humphreys.
Two years postdoc experience working in hospitals and community care settings, recruiting stroke patients into clinical research trials. Two years at University on Warwick working on a project investigating the association between sleep and cognitive function in a large population cohort of older adults.
Recent work has focussed on healthy cognitive ageing, sexual activity and cognitive function in older adults, and self-management of long term conditions including cancer and stroke.
 
Area of Expertise:
Cognitive ageing, sex and cognition in older adults, stroke, neuropsychology"
169,John Halloran,https://scholar.google.co.uk/citations?hl=en&user=ZO6ENnMAAAAJ,"HCI, sociotechnical systems, CSCW, human factors","School of Computing, Electronics and Maths","Faculty of Engineering, Environment & Computing",https://pureportal.coventry.ac.uk/en/persons/john-halloran,"Vision Statement: 
My research is dedicated to creating new technology that empowers people, informed by close understandings of their activities, needs and motivations. My current work is in sustainable living. While global warming can be offset through smarter buildings, we also need smart occupants who know about energy use and its effects. Thus, my focus is on occupant behaviour change to reduce energy consumption, conceived as an empowerment problem where the issue is to put in place means of raising awareness and enhancing personal efficacy, to reduce costs and increase comfort. I am working with a range of stakeholders to develop effective energy informatics to support this."
170,priscilla claeys,https://scholar.google.co.uk/citations?hl=en&user=O5BpOckAAAAJ,"rights of peasants, food sovereignty, right to food, human rights, gender",,,,
171,Mingwen Bai,https://scholar.google.co.uk/citations?hl=en&user=s2wvrfUAAAAJ,"Thermal Barrier Coatings, Corrosion, Oxidation, Thermal Spray Coatings",,,https://pureportal.coventry.ac.uk/en/persons/mingwen-bai,"Biography: Assistant Professor (Current, from 2020) Inst. for Future Transport and Cities, Coventry University, Working in Materials, Mechanics and Measurement Research Group with Prof. Nigel Jennett on materials for advanced manufacturing   
Research Associate (2018 – 2020) NanoLAB Research Centre, University of Sheffield, Worked with Prof. B J Inkson and Prof. A Neville on a £5.6m EPSRC project (EP/R001766/1), “Friction: The Tribology Enigma”, Challenge 4, on in-situ nano-mechanical and tribological testing in FIB SEM.   
Research Fellow (2016 – 2018) Advanced Materials Group, University of Nottingham, Worked with Dr. T Hussain and Prof. H Liu on a £1m EPSRC project ((EP/M01536X/1), “Ultra-Supercritical steam power generation technology with Circulating Fluidized Bed: Combustion, Materials and Modelling”, WP 2.), on developing HVOF thermal spray coatings   
Research Assistant (2011 – 2016) Materials Performance Centre, University of Manchester, Worked with Prof. Ping Xiao and Rolls-Royce on thermal barrier coatings in aeroengines with a focus on coatings’ failure mechanism using advanced electron microscopes (FIB SEM and TEM) and development of low-cost Platinum bond coat and YSZ ceramic top coat using electrochemical methods."
172,Damian Stanley,https://scholar.google.co.uk/citations?hl=en&user=_QkRMZAAAAAJ,Psychology,,,,
173,Xiang Fei,https://scholar.google.co.uk/citations?hl=en&user=nTeoSu4AAAAJ,"data stream mining in IoT, scheduling for Internet and Cloud Computing","School of Computing, Electronics and Maths","Faculty of Engineering, Environment & Computing",https://pureportal.coventry.ac.uk/en/persons/xiang-fei,Research Interests: (Wireless) Internetworking; Middleware for WSN (Wireless Sensor Networks); Packet Scheduling for (Wireless) Internetworking
174,Erik Borg,https://scholar.google.co.uk/citations?hl=en&user=VOoQa4oAAAAJ,"Academic writing, multimodal communication, plagiarism",,,,
175,David Durling,https://scholar.google.co.uk/citations?hl=en&user=hzNSwaUAAAAJ,Design PhD,,,,
176,Mansour Al Qubeissi,https://scholar.google.co.uk/citations?hl=en&user=EwWcKisAAAAJ,"Heat and mass transfer, CFD, Blended fuels, Thermofluid mechanics",,,,
177,Dr Augustine Osamor Ifelebuegu,https://scholar.google.co.uk/citations?hl=en&user=bQQvgqUAAAAJ,"Petroleum Technology, Water & Wastewater Treatment, Process Safety, Oil & Gas Mgt, Oil Spills Mgt.",,,,
178,sarah whatley,https://scholar.google.co.uk/citations?hl=en&user=HfgFDt8AAAAJ,"Dance, performing arts",,,,
179,Thierry PLATINI,https://scholar.google.co.uk/citations?hl=en&user=V7U7bJEAAAAJ,"Statistical Physics, Open Quantum Systems, Biophysics",,,,
