,names_2,link_CU,research_interest,pernames,subfaculty,faculty
10,Abdulrahman Al-Surmi,https://pureportal.coventry.ac.uk/en/persons/abdulrahman-al-surmi,"Research Interests: Dr. Abdulrahman Al-Surmi has a particular interest in the following fields: Strategic Management, Strategic Alignment, and Business Value of IT and Marketing. Also, I aspire to carry out further research in the area of Business Analytics field.
 
Refereed Journal Article

Al-Surmi, A., Cao, G. and Duan, Y. 2019. The Impact of Aligning Business, IT, and Marketing Strategies on Firm Performance, Industrial Marketing Management (ABS 3).

 ",Abdulrahman Al-Surmi,School of Strategy and Leadership,Faculty of Business & Law
11,Shohel Amin,https://pureportal.coventry.ac.uk/en/persons/shohel-amin,"Research Interests: Climate change and natural hazards resilient road infrastructure systemPavement deterioration modelling, maintenance operations and budget optimizationAll-weather rural roads in developing countriesTraffic congestion, air pollution and road infrastructure maintenanceRoad infrastructure, users’ behavior and property marketTransport and public healthActivity based travel demand modellingAffordable public mass transportsEconomy, trade flow and freight transportClimate change, user’s behaviour and road accidentsSkid resistance, pavement condition and road accidentsTraffic characteristics, signalized intersection design, road geometric and road accidents",Shohel Amin,Institute for Future Transport and Cities,"Faculty of Engineering, Environment & Computing"
12,Rachid Anane,https://pureportal.coventry.ac.uk/en/persons/rachid-anane,Research Interests: Distributed Systems; Learning technologies,Rachid Anane,"School of Computing, Electronics and Maths","Faculty of Engineering, Environment & Computing"
13,Colin Anderson,https://pureportal.coventry.ac.uk/en/persons/colin-anderson,Research Interests: Resilience ; Transformation ; Environmental justice; Food sovereignty ; Civic food networks ; Participatory video ; Power and privilege ; Alternative economies ; Relational geographies ; Sustainability transitions ; Cooperatives and cooperation ; Participatory action research ; Public geography; Environmental education,,,
14,Panagiotis Andrikopoulos,https://pureportal.coventry.ac.uk/en/persons/panagiotis-andrikopoulos,"Research Interests: Stakeholder Theory; Corporate Finance
; Behavioural Finance
; Empirical Asset Pricing",Panagiotis Andrikopoulos,Faculty Research Centre for Financial & Corporate Integrity,Faculty of Business & Law
15,Babatunde Anifowose,https://pureportal.coventry.ac.uk/en/persons/babatunde-anifowose,"Research Interests: 
Environmental Impact Assessment (EIA) of complex projects (e.g. oil and gas) incl. the application of digital technologies (Artificial Intelligence, Machine Learning etc.); Project Performance Evaluation; Social-Environmental Science nexus of development project impacts in host communities; Oil spill modelling; Flow description for oil spill trajectory simulation; Hydraulic Geometry Principle; Oil and Gas Transportation; Oil and Gas EIA/EIS Quality; Environmental GIS and Remote Sensing; Projects, Facilities and Construction phase interaction with Environmental receptors
",Babatunde Anifowose,"School of Energy, Construction and Environment","Faculty of Engineering, Environment & Computing"
16,Nancy Annan,https://pureportal.coventry.ac.uk/en/persons/nancy-annan-2,"Research Interests: International peacebuilding, peacekeeping, global development and gender peace and security.",,,
17,Lindsey Appleyard,https://pureportal.coventry.ac.uk/en/persons/lindsey-appleyard,"Research Interests: Financial Geographies; Financialization; Inclusive Economies, Alternative Finance, Subprime and Mainstream Credit, Financial Inclusion and Exclusion, Financial Capability, Financial Wellbeing",Lindsey Appleyard,Faculty Research Centre for Business in Society,Faculty of Business & Law
18,Sylvester Arnab,https://pureportal.coventry.ac.uk/en/persons/sylvester-arnab,"Research Interests: Game Science (gameful/playful design, serious games, game-based learning, gamification, game design thinking); Hybrid learning spaces; Technology-enhanced learning; Pervasive learning and technologies; Trans-disciplinary game-based intervention development; Multi-modal platforms (tactile, wearable, mobile, mixed-reality)",Sylvester Arnab,Disruptive Media Learning Lab,Faculty of Arts & Humanities
19,Randhir Auluck,https://pureportal.coventry.ac.uk/en/persons/randhir-auluck,Research Interests: Leadership; Public sector management; Organisational behaviour; Human Resource development; Political leadership and ethical behaviour; Equalties & diversity,Randhir Auluck,School of Marketing and Management,Faculty of Business & Law
20,Stephen Austin,https://pureportal.coventry.ac.uk/en/persons/stephen-austin,Research Interests: On-line international virtual teams; Peer and self assessment in teamwork; Virtual reality training for the construction industry; English language skills for European construction workers; Simulation training for Building Information Modelling (BIM),Stephen Austin,"School of Energy, Construction and Environment","Faculty of Engineering, Environment & Computing"
21,Rami Ayoubi,https://pureportal.coventry.ac.uk/en/persons/rami-ayoubi,"Research Interests: Dr Ayoubi main research interests is higher education management including mainly:
Strategy and management of internationalisation;leadership; strategic management in the sector; youth issues in the sector; HE in conflict zones, management and marketing of HE; CRM strategy and IS in HE; labour market and employability of graduates; HRM in HE and modelling and system thinking in HE sector, global governance, diplomacy and social responsibility of the HE sector.",Rami Ayoubi,School of Strategy and Leadership,Faculty of Business & Law
22,Farzaneh Azizsafaei,https://pureportal.coventry.ac.uk/en/persons/farzaneh-azizsafaei,Research Interests: Startegic AgilityOrganisational AgilityAgile HRMAgile HR FunctionSHRM Models for Enhancing Organisational Agility Performance ImprovementLeadership Agility,Farzaneh Azizsafaei,School of Strategy and Leadership,Faculty of Business & Law
23,Meghdad Bagheri,https://pureportal.coventry.ac.uk/en/persons/meghdad-bagheri,"Research Interests: Meghdad's current research focuses on the characterisation of the thermo-hydro-mechanical behaviour of soft soils, numerical modelling of soft soils behaviour under the road and railway embankments using advanced critical-state constitutive models, and development of experimental solutions for better understanding the mechanical behaviour of geomaterials.
Dr Bagheri is always looking for high quality PhD students or collaborators to work on current or new research projects. Please directly contact him if interested.",Meghdad Bagheri,"School of Energy, Construction and Environment","Faculty of Engineering, Environment & Computing"
24,Mohammadreza Bagheri,https://pureportal.coventry.ac.uk/en/persons/mohammadreza-bagheri,Research Interests: CO2 capture and storage; Geomechanical and geochemical modelling; Reservoir simulation,Mohammadreza Bagheri,Faculty Research Centre in Fluid and Complex Systems,"Faculty of Engineering, Environment & Computing"
25,Witold Bahr,https://pureportal.coventry.ac.uk/en/persons/witold-bahr,Research Interests: Supply Chain Management and LogisticsDivergence between theory and practice in SCMEnvironmentally sustainable Third Party LogisticsRadio Frequency Identification (RFID)BlockchainTechnology trendsWarehousingMulti-agent simulation in logistics,Witold Bahr,School of Strategy and Leadership,Faculty of Business & Law
26,Adam Baird,https://pureportal.coventry.ac.uk/en/persons/adam-baird,Research Interests: Gangs; Belize; Trinidad and Tobgo; Colombia; Masculinities; SGBV; Armed violence; Latin America and Caribbean,,,
27,Ken Baldwin,https://pureportal.coventry.ac.uk/en/persons/ken-baldwin,Research Interests: Derivatives; Systemic risk; Risk Management; Islamic Banking; Contract Theory; Behavioural finance; Economic Capital; Microfinance,Ken Baldwin,"School of Economics, Finance and Accounting",Faculty of Business & Law
28,Hazel Barrett,https://pureportal.coventry.ac.uk/en/persons/hazel-barrett,"Research Interests: FGM; community based-research in African Diaspora EU.HIV/AIDS; Development Geography; Participatory Research Methods; Gender, Human development and Health issues in Africa; Marketing, Agricultural Systems and Rural Development in Africa",,,
29,Bahar Baser Ozturk,https://pureportal.coventry.ac.uk/en/persons/bahar-baser-ozturk,Research Interests: Ethnic lobbying; Third party mediation; Middle Eastern politics; Tamil Diaspora Activism; Nagorno-Karabakh Conflict; Kurdish Question in Turkey; Transnationalism and diasporas; Peacebuilding and conflict resolution; Importation of homeland conflicts to host countries; Integration policies and multiculturalism in Sweden and Germany,,,
30,Tom Bason,https://pureportal.coventry.ac.uk/en/persons/tom-bason,Research Interests: Sport Mega-Events; CSR; Sport policy; Sport Management,Tom Bason,School of Marketing and Management,Faculty of Business & Law
31,Tina Bass,https://pureportal.coventry.ac.uk/en/persons/tina-bass,"Research Interests: Employability
; Managing Change
; Managing Business Responsibly; Pedagogy/Scholarship of Teaching and Learning",Tina Bass,School of Strategy and Leadership,Faculty of Business & Law
32,Enobong Bassey,https://pureportal.coventry.ac.uk/en/persons/enobong-bassey,"Research Interests: Petroleum Flow and Transport Mechanisms; Reservoir Engineering and Well Test Analysis; Geostatistical Simulation; Improved Oil and Gas Recovery; Drilling, Completion and Well Engineering; Production Engineering; Geothermal and Unconventional Reservoir Systems; Petroleum Processing; Oilfield Chemistry and Produced Water Management; Gas Sensor Technology; Signal Processing; and Application of Nanotechnology to Petroleum Production.",Enobong Bassey,"School of Energy, Construction and Environment","Faculty of Engineering, Environment & Computing"
33,Christophe Bastien,https://pureportal.coventry.ac.uk/en/persons/christophe-bastien,Research Interests: Lightweighting; Automotive Safety; Optimisation and Human Trauma Predictions,,,
34,Felix Batsch,https://pureportal.coventry.ac.uk/en/persons/felix-batsch,"Research Interests: Felix' research focuses on developing a new methodology to test autonomous vehicles using comprehensive vehicle simulation in conjunction with supervised machine learning. He is developing a framework, that identifies safety critical corner case scenarios, which reveal flaws in the design and behaviour of novel autonomous vehicles.
He has further interest in the area of model predictive control for behaviour generation and path planning of autonomous vehicles.",,,
35,Gaye Bebek,https://pureportal.coventry.ac.uk/en/persons/gaye-bebek,Research Interests: Consumer Behaviour; Ethical Consumption; Cross-cultural Consumption; New markets and legitimacy; Branding in illicit markets,Gaye Bebek,School of Marketing and Management,Faculty of Business & Law
36,Jason Begley,https://pureportal.coventry.ac.uk/en/persons/jason-begley,Research Interests: GDP estimates; Economic Development; Wage series estimates; Auto industry and LCV sector,Jason Begley,Faculty Research Centre for Business in Society,Faculty of Business & Law
37,David Bek,https://pureportal.coventry.ac.uk/en/persons/david-bek,Research Interests: Ethical Trade; Sustainability; Local economic development; Corporate social responsibility,David Bek,Faculty Research Centre for Business in Society,Faculty of Business & Law
38,Jaliyyah Bello,https://pureportal.coventry.ac.uk/en/persons/jaliyyah-bello,"Research Interests: Financial Contagion
Behavioural Finance
Sustainable Development ",Jaliyyah Bello,"School of Economics, Finance and Accounting",Faculty of Business & Law
39,Stephen Benjamin,https://pureportal.coventry.ac.uk/en/persons/stephen-benjamin,"Research Interests: Fluid dynamics
; Automotive Emissions After-treatment",Stephen Benjamin,"Faculty of Engineering, Environment & Computing","Faculty of Engineering, Environment & Computing"
40,James Bennett,https://pureportal.coventry.ac.uk/en/persons/james-bennett,Research Interests: Tropical agriculture (particularly livestock production); Issues associated with human development and the loss of biodiversity; The relationship between farmland management and conservation of biodiversity within the UK; Rangeland ecology and subsistence production systems premised on extensive livestock ownership on communally-held grazing lands,,,
41,Eryn Berman-Roberts,https://pureportal.coventry.ac.uk/en/persons/eryn-berman-roberts,"Research Interests: I have a research interest in professional supervision and treatment approaches to reduce offending behaviour and behaviours that increase risk. I have conducted research which has consider the role of motivation on Offending Behaviour Programmes (OBP), anti libidinal medication and sexual preocupation and research at open prison conditions. ",Eryn Berman-Roberts,"School of Psychological, Social and Behavioural Sciences",Faculty of Health & Life Sciences
42,Gary Betts,https://pureportal.coventry.ac.uk/en/persons/gary-betts,"Research Interests: Sentencing theory, policy and practice
; Criminal Law, particularly theft and kindred offences",Gary Betts,School of Law,Faculty of Business & Law
43,Raja Mazuir Bin Raja Ahsan Shah,https://pureportal.coventry.ac.uk/en/persons/raja-mazuir-bin-raja-ahsan-shah,Research Interests: Mazuir's key research interest areas include: •  Advanced propulsion system•  Powertrain dynamics and control•  Hybrid and electric vehicles•  Model based testing and calibration – virtual testing•  Complex powertrain-vehicle system interaction•  Vehicle energy storage•  Vehicle energy management•  Thermal management system,Raja Mazuir Bin Raja Ahsan Shah,"School of Mechanical, Aerospace and Automotive Engineering","Faculty of Engineering, Environment & Computing"
44,Bob Bird,https://pureportal.coventry.ac.uk/en/persons/bob-bird,"Research Interests: Digital Forensics ; Cyber Security; Intrusion Detection; Problem-Based Learning ; Major criminal investigations, particularly homicide;",Bob Bird,"School of Computing, Electronics and Maths","Faculty of Engineering, Environment & Computing"
45,Stewart Birrell,https://pureportal.coventry.ac.uk/en/persons/stewart-birrell,"Research Interests: Key Research Areas

Driver state monitoring and biometrics for adaptive interfaces

Information requirements for drivers / users in autonomous vehicles

Design of internal and external HMI for user trust in AVs

Motion sickness and its impact on driving performance

Driver behaviour and effect on real-world range of electric vehicles and wireless charging

 
Methodologies
Driver-in-the-loop simulator evaluation of new in-vehicle information systems and technologiesField Operational Trials (FOTs) for benchmark and evaluation of user interaction with technology and driver behaviour / performanceMixed modality virtual prototyping (physical buck enhanced with VR or AR)User requirement capture and generation of functional requirements",,,
46,Rui Biscaia,https://pureportal.coventry.ac.uk/en/persons/rui-biscaia,"Research Interests: Sport marketing	; Service quality	; Sponsorship 

; Sport Brand management; Sport consumer behaviour",Rui Biscaia,School of Marketing and Management,Faculty of Business & Law
47,Jess Bishop,https://pureportal.coventry.ac.uk/en/persons/jess-bishop,"Research Interests: Education ; Academic Development; Voluntary Sector ; Rural Youth Work ; Youth Volunteering ; Leadership and Management ; Inter-professional Working ; Young People’s Spirituality ; Youth Work, Community Work and Play Work; Death and Loss.",Jess Bishop,Office of Teaching and Learning,Faculty of Health & Life Sciences
48,Matthew Blackett,https://pureportal.coventry.ac.uk/en/persons/matthew-blackett,Research Interests: Natural hazards; Natural disasters; Environmental change management; Remote sensing; Volcanoes; Earthquakes,Matthew Blackett,"Centre for Agroecology, Water and Resilience","Faculty of Engineering, Environment & Computing"
49,Hetty Blades,https://pureportal.coventry.ac.uk/en/persons/hetty-blades,"Research Interests: Philosophy, technology, disability, the dissemination of choreographic process. Dance and international development. ",Hetty Blades,Faculty Research Centre for Dance Research (CDaRE),Faculty of Arts & Humanities
50,Mike Blundell,https://pureportal.coventry.ac.uk/en/persons/mike-blundell,Research Interests: Vehicle Crash Analysis; Helicopter Crash Simulation; Vehicle Dynamics and Safety; Pedestrian Impact Protection; Tyre Modelling and Behaviour; Low Carbon Vehicle Engineering; Vehicle Handling and Braking Computer Simulation,,,
51,Shadi Bokaee,https://pureportal.coventry.ac.uk/en/persons/shadi-bokaee,"Research Interests: My main interests are in tumour immunology, immunotherapy and regulatory T cells. Also, I aspire to carry out further research in the areas of targeted therapy of human cancers using monoclonal antibodies, tumour biomarkers and drug-resistance in cancer, identification of novel therapeutic targets and diagnostic markers using monoclonal antibody technology.",Shadi Bokaee,School of Life Sciences,Faculty of Health & Life Sciences
52,Dibakor Boruah,https://pureportal.coventry.ac.uk/en/persons/dibakor-boruah,"Research Interests: Additive Manufacturing; Cold Spray; Materials Characterisation, Fatigue and Fracture Mechanics; Residual Stresses, Thermal Treatments; Structural Integrity; Structural Dynamics; Finite Element Analysis; Machine Learning",,,
53,Helen Breadmore,https://pureportal.coventry.ac.uk/en/persons/helen-breadmore,"Research Interests: My research focuses on educational attainment and, in particular, language and literacy development. By combining experimental, population, longitudinal and intervention approaches, my research has high scientific rigor with real world implications.
 
In my experimental work I examine the nature of linguistic and cognitive processes during literacy tasks using a range of methodologies, such as studying the time-course of spelling (spatio-dynamics of handwriting) and reading (eye-movement recording). Through population and longitudinal research, I consider the impact of different strengths, weaknesses and environmental influences on attainment more broadly. My research also includes examining the effectiveness of literacy interventions through large scale randomised controlled trials, and working closely with policy makers and educators to apply research findings to the classroom. For example, I led the Education Endowment Foundation Evidence Review on Literacy Development (2019), and am currently leading a Review of Measures of Attainment in Literacy, Mathematics and Science.",,,
54,Joshua Brem-Wilson,https://pureportal.coventry.ac.uk/en/persons/joshua-brem-wilson,Research Interests: Citizen/non-elite participation in food and agricultural policy-making,,,
55,Billy Brick,https://pureportal.coventry.ac.uk/en/persons/billy-brick,Research Interests: German Language; Digital Literacies; Mobile Assisted Language Learning; Gamification of Language Learning; Computer Assisted Language Learning; Social Networking and Language Learning,Billy Brick,School of Humanities,Faculty of Arts & Humanities
56,Geraldine Brown,https://pureportal.coventry.ac.uk/en/persons/geraldine-brown,Research Interests: Inequality; Social Justice; Race and Ethnicity; Research Methodology; Community Engagement and Action; Children Young People and Families; Health and Social Care Policy and Practice,,,
57,Katherine Brown,https://pureportal.coventry.ac.uk/en/persons/katherine-brown,Research Interests: eHealth; Public Health; Sexual Health; Behaviour Change; Health Psychology; Intervention development and evaluation,Katherine Brown,Faculty of Health & Life Sciences,Faculty of Health & Life Sciences
58,Sarah Brown,https://pureportal.coventry.ac.uk/en/persons/sarah-brown,"Research Interests: Professor Brown’s research has focussed on the characteristics of perpetrators of sexual and intimate partner-violence, most recently having conducted research for the Centre of Expertise on Child Sexual Abuse to examine this in respect of Child Sexual Exploitation (CSE). With colleagues in Australia, she has investigated the contexts and circumstances of perpetrators' first sexual offences and most recently the impact of programmes for adolescents aimed at reducing offending on future victimisation. She has examined risk assessment, CSE risk tools, public attitudes to sex offenders and criminal justice responses to them, empathy, emotion recognition and perspective taking, the effectiveness of sex offender treatment programmes and other offender interventions, and professionals' confidence in responding to child sexual abuse.",Sarah Brown,Faculty of Health & Life Sciences,Faculty of Health & Life Sciences
59,Jeremy Bryans,https://pureportal.coventry.ac.uk/en/persons/jeremy-bryans,Research Interests: Automotive Cybersecurity; Systems of Systems; Cyber-Physical Systems; Formal Verification,,,
60,Sara Burbi,https://pureportal.coventry.ac.uk/en/persons/sara-burbi,"Research Interests: Grassland Productivity; Animal Nutrition; Organic Farming; Climate Change Impact; Agroforestry, Silvopasture; Systems Transition; Farmer Engagement; Agroeocological Livestock Systems; Knowledge Generation and Dissemination",,,
61,Amy Burrell,https://pureportal.coventry.ac.uk/en/persons/amy-burrell,Research Interests: crime linkage; behavioural investigative advice; robbery; violent crime; violence in the night time economy; alcohol related violence; burglary; missing people and dementia,Amy Burrell,"School of Psychological, Social and Behavioural Sciences",Faculty of Health & Life Sciences
62,Jonathan Burrows,https://pureportal.coventry.ac.uk/en/persons/jonathan-burrows,Research Interests: Contemporary dance and performance practice,Jonathan Burrows,Faculty Research Centre for Dance Research (CDaRE),Faculty of Arts & Humanities
63,Joel Busher,https://pureportal.coventry.ac.uk/en/persons/joel-busher,Research Interests: Social movements; Mobilization; Political violence; Anti-minority activism; Counter-terrorism; National and transnational identities; Policy enactment; Mixed methods,,,
64,Fabio Carbone,https://pureportal.coventry.ac.uk/en/persons/fabio-carbone,"Research Interests: Cultural heritage management;
International Tourism;
Intercultural dialogue;
Cultural Diplomacy;
Peace studies.",Fabio Carbone,"Centre for Trust, Peace and Social Relations",Faculty of Business & Law
65,Grace Carter,https://pureportal.coventry.ac.uk/en/persons/grace-carter,"Research Interests: Grace's main research interests include: researching with vulnerable populations, researching with victims/survivors of domestic and sexual violence, evaluating healthcare interventions, researching with healthcare professionals, developing the intervention evidence base for children who have experienced domestic abuse, prioritising the voices of children in research, policy and practice. ",Grace Carter,Faculty Research Centre for Intelligent Healthcare,Faculty of Health & Life Sciences
66,Mateja Celestina,https://pureportal.coventry.ac.uk/en/persons/mateja-celestina,Research Interests: Displacement; Belonging; Place; Memory; Identity and identification,,,
67,Michael Jahi Chappell,https://pureportal.coventry.ac.uk/en/persons/michael-jahi-chappell,"Research Interests: Ways, places and opportunities for food sovereignty to be institutionalised; Defining and designing policies from the local to international scale to support food security, sustainability, and biodiversity conservation",,,
68,Erica Charalambous,https://pureportal.coventry.ac.uk/en/persons/erica-charalambous,"Research Interests: Erica Charalambous is a dancer, choreographer and a PhD Candidate in a cotutelle research programme in Dance Digitisation at the Centre for Dance Research in Coventry University, UK and Deakin University Melbourne, Australia. Erica’s research focus is on the ‘moments’ of transference of dance into data within the organization, function and digital curation of dance archives in Germany, UK and Australia. Her research interests span from choreographic practices, somatic practices, dance documentation, dance archiving, documenting practice, documenting intangible cultural heritage, cultural intersectionalism and curation of multimodal contemporary art practices with a focus on dance. Alongside her research Erica challenges the boundaries of her artistic practice through an un-published journal I am an Archive (ongoing project) funded by Hosking Houses Trust and Coventry University fund for a Writer’s Residency for Women Writers (2018); an experimental installation Dance Data Distillery (2018) at Digital Echoes 2018 at C_DaRE, and a video art digital performance installation Room under my skin (May- November 2018) at the Venice Biennale 2018. ",Erica Charalambous,Faculty Research Centre for Dance Research (CDaRE),Faculty of Arts & Humanities
69,Sue Charlesworth,https://pureportal.coventry.ac.uk/en/persons/sue-charlesworth,"Research Interests: SuDS; design and installation of SuDS in informal settlements, favelas and refugee camps; role of Green Infrastructure; Ecosystem Services Provision; Urban lake and river sediments; Urban Physical Processes: Urban Hydrology; The risk to children’s health of contaminants in playground material;  Efficiency of porous paving in degrading oil and dealing with metal pollutants",,,
70,Yung-Fang Chen,https://pureportal.coventry.ac.uk/en/persons/yung-fang-chen,"Research Interests: Training exercise and simulation; disaster risk reduction education; post disaster reconstruction; community resilience; urban resilience; computer aided teaching; pedegogy; Serious Games; rlood management; risk communication; corporate governance;  risk, crisis and disaster management",Yung-Fang Chen,"Centre for Global Learning, Education and Attainment","Faculty of Engineering, Environment & Computing"
71,Eoin Coakley,https://pureportal.coventry.ac.uk/en/persons/eoin-coakley,"Research Interests: Concrete repairs
; Concrete technology; Cement replacement materials",Eoin Coakley,"School of Energy, Construction and Environment","Faculty of Engineering, Environment & Computing"
72,Andrew Cobley,https://pureportal.coventry.ac.uk/en/persons/andrew-cobley,Research Interests: Applied Electrochemistry; Selective metallisation of textiles and other non-conductive materials :Sonochemistry/ultrasound; Electroplating of Composites; Electroelss plating: Functionalisation of surfaces; Metallization of nanoparticles; PCB Manufacturing; Surface Engineering; Sonochemical Surface Modification of Materials; Metallisation Processes for Electronic Manufacturing; Metallisation and Functionalization of Nano and Micro-particles; The use of Ultrasound in Electrochemical Metallisation processes; ,,,
73,Kathryn Cook,https://pureportal.coventry.ac.uk/en/persons/kathryn-cook,"Research Interests: Research interests include pedagogy, psychological rehabilitation from injury, attention in sports performance and the effect of caffeine on sports performance.",Kathryn Cook,School of Life Sciences,Faculty of Health & Life Sciences
74,Stef Cormack,https://pureportal.coventry.ac.uk/en/persons/stef-cormack,"Research Interests: HEMS Crew/Team Resource Management
; Pre-hospital trauma and critical care
; Communication in the pre-hospital environment",,,
75,Gordon Crawford,https://pureportal.coventry.ac.uk/en/persons/gordon-crawford,Research Interests: Human rights; Food sovereignty; Global development; Struggles for social justice; Democracy and democratisation,,,
76,Sue Cresswell,https://pureportal.coventry.ac.uk/en/persons/sue-cresswell,"Research Interests: Selection process and attrition
Numeracy in Nursing",Sue Cresswell,"School of Nursing, Midwifery and Health",Faculty of Health & Life Sciences
77,Michael Cribb,https://pureportal.coventry.ac.uk/en/persons/michael-cribb,Research Interests: Phonology; Psycholinguistics; Discourse Analysis; Political Discourse; Semantics and Pragmatics; English for Academic Purposes and TESOL,Michael Cribb,School of Humanities,Faculty of Arts & Humanities
78,David Curran,https://pureportal.coventry.ac.uk/en/persons/david-curran,Research Interests: Peacekeeping; Peacebuilding; United Nations; Conflict resolution,,,
79,Kristina Curtis,https://pureportal.coventry.ac.uk/en/persons/kristina-curtis,Research Interests: eHealth; Public health; Behaviour change; Health psychology; Childhood obesity; User-centred design; Intervention development and evaluation,Kristina Curtis,Faculty Research Centre for Intelligent Healthcare,Faculty of Health & Life Sciences
80,QueAnh Dang,https://pureportal.coventry.ac.uk/en/persons/que-anh-dang,"Research Interests: I am interested in studying education policies and practices that facilitate the development of globally-oriented graduates. I view international education partnerships as social constructs that are simultaneously cultural, political and economic projects. They emerge out of the interaction between ideas and imaginaries, as well as strategies that are advanced and (re)produced by a range of social actors. I am keen to explore why these projects emerge, what sources of their legitimacy are, how their agendas get set, by whom and for whom?
I would welcome contact from research partners and/or prospective PhD students about the following research areas:
Internationalisation of doctoral education, social imaginaries and social mobilityDynamic spatial, temporal and social interactions between education and societies (with a focus on equity and inclusive development);Cultural political economy of education;Globalisation, regionalism and multi-layered governance in transnational higher education;SDGs-related educational research partnerships;Knowledge diplomacy, intercultural engagement and power relations.",,,
